Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.506), np.float64(0.494))","(np.float64(0.589), np.float64(0.411))","(np.float64(0.543), np.float64(0.457))"
2,"(np.float64(0.551), np.float64(0.449))","(np.float64(0.609), np.float64(0.391))","(np.float64(0.611), np.float64(0.389))"
5,"(np.float64(0.549), np.float64(0.451))","(np.float64(0.701), np.float64(0.299))","(np.float64(0.69), np.float64(0.31))"
10,"(np.float64(0.607), np.float64(0.393))","(np.float64(0.805), np.float64(0.195))","(np.float64(0.778), np.float64(0.222))"
