Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.028), np.float64(0.042))","(np.float64(0.01), np.float64(0.021))","(np.float64(0.031), np.float64(0.021))"
2,"(np.float64(0.038), np.float64(0.038))","(np.float64(0.043), np.float64(0.015))","(np.float64(0.048), np.float64(0.011))"
5,"(np.float64(0.05), np.float64(0.015))","(np.float64(0.088), np.float64(0.003))","(np.float64(0.089), np.float64(0.002))"
10,"(np.float64(0.031), np.float64(0.014))","(np.float64(0.136), np.float64(0.001))","(np.float64(0.124), np.float64(0.001))"
