Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.038), np.float64(0.015))","(np.float64(0.02), np.float64(0.023))","(np.float64(0.02), np.float64(0.023))"
2,"(np.float64(0.042), np.float64(0.011))","(np.float64(0.05), np.float64(0.013))","(np.float64(0.059), np.float64(0.016))"
5,"(np.float64(0.036), np.float64(0.009))","(np.float64(0.07), np.float64(0.007))","(np.float64(0.078), np.float64(0.005))"
10,"(np.float64(0.033), np.float64(0.002))","(np.float64(0.118), np.float64(0.003))","(np.float64(0.143), np.float64(0.002))"
