Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.496), np.float64(0.504))","(np.float64(0.536), np.float64(0.464))","(np.float64(0.51), np.float64(0.49))"
2,"(np.float64(0.593), np.float64(0.407))","(np.float64(0.598), np.float64(0.402))","(np.float64(0.598), np.float64(0.402))"
5,"(np.float64(0.604), np.float64(0.396))","(np.float64(0.594), np.float64(0.406))","(np.float64(0.564), np.float64(0.436))"
10,"(np.float64(0.678), np.float64(0.322))","(np.float64(0.688), np.float64(0.312))","(np.float64(0.675), np.float64(0.325))"
