Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.052), np.float64(0.021))","(np.float64(0.043), np.float64(0.021))","(np.float64(0.043), np.float64(0.021))"
2,"(np.float64(0.05), np.float64(0.015))","(np.float64(0.055), np.float64(0.017))","(np.float64(0.06), np.float64(0.012))"
5,"(np.float64(0.07), np.float64(0.005))","(np.float64(0.081), np.float64(0.003))","(np.float64(0.088), np.float64(0.001))"
10,"(np.float64(0.11), np.float64(0.003))","(np.float64(0.14), np.float64(0.002))","(np.float64(0.148), np.float64(0.001))"
