Ensemble Size,Town grid-point,Town 7x7 Box,Town 7x7 Land Box
1,"(np.float64(0.586), np.float64(0.414))","(np.float64(0.577), np.float64(0.423))","(np.float64(0.597), np.float64(0.403))"
2,"(np.float64(0.561), np.float64(0.439))","(np.float64(0.669), np.float64(0.331))","(np.float64(0.675), np.float64(0.325))"
5,"(np.float64(0.595), np.float64(0.405))","(np.float64(0.718), np.float64(0.282))","(np.float64(0.743), np.float64(0.257))"
10,"(np.float64(0.692), np.float64(0.308))","(np.float64(0.827), np.float64(0.173))","(np.float64(0.843), np.float64(0.157))"
